PEST24: PEST24 Value,PEST24: PEST24 Exceedance,PEST20: PEST20 Value,PEST20: PEST20 Exceedance,Base: Init6 Value,Base: Init6 Exceedance,Historical: Historical Data Value,Historical: Historical Data Exceedance
0.0,0.266,0.0,0.266,0.0,0.266,,
0.0,0.266,0.0,0.266,0.0,0.266,,
0.0,0.267,0.0,0.267,0.0,0.267,,
0.0,0.268,0.0,0.268,0.0,0.268,,
0.0,0.269,0.0,0.269,0.0,0.269,,
0.0,0.27,0.0,0.27,0.0,0.27,,
0.0,0.271,0.0,0.271,0.0,0.271,,
0.0,0.271,0.0,0.271,0.0,0.271,,
0.0,0.272,0.0,0.272,0.0,0.272,,
0.0,0.273,0.0,0.273,0.0,0.273,,
0.0,0.274,0.0,0.274,0.0,0.274,,
0.0,0.275,0.0,0.275,0.0,0.275,,
0.0,0.276,0.0,0.276,0.0,0.276,,
0.0,0.276,0.0,0.276,0.0,0.276,,
0.0,0.277,0.0,0.277,0.0,0.277,,
0.0,0.278,0.0,0.278,0.0,0.278,,
0.0,0.279,0.0,0.279,0.0,0.279,,
0.0,0.28,0.0,0.28,0.0,0.28,,
0.0,0.281,0.0,0.281,0.0,0.281,,
0.0,0.281,0.0,0.281,0.0,0.281,,
0.0,0.282,0.0,0.282,0.0,0.282,,
0.0,0.283,0.0,0.283,0.0,0.283,,
0.0,0.284,0.0,0.284,0.0,0.284,,
0.0,0.285,0.0,0.285,0.0,0.285,,
0.0,0.286,0.0,0.286,0.0,0.286,,
0.0,0.286,0.0,0.286,0.0,0.286,,
0.0,0.287,0.0,0.287,0.0,0.287,,
0.0,0.288,0.0,0.288,0.0,0.288,,
0.0,0.289,0.0,0.289,0.0,0.289,,
0.0,0.29,0.0,0.29,0.0,0.29,,
0.0,0.291,0.0,0.291,0.0,0.291,,
0.0,0.291,0.0,0.291,0.0,0.291,,
0.0,0.292,0.0,0.292,0.0,0.292,,
0.0,0.293,0.0,0.293,0.0,0.293,,
0.0,0.294,0.0,0.294,0.0,0.294,,
0.0,0.295,0.0,0.295,0.0,0.295,,
0.0,0.296,0.0,0.296,0.0,0.296,,
0.0,0.296,0.0,0.296,0.0,0.296,,
0.0,0.297,0.0,0.297,0.0,0.297,,
0.0,0.298,0.0,0.298,0.0,0.298,,
0.0,0.299,0.0,0.299,0.0,0.299,,
0.0,0.3,0.0,0.3,0.0,0.3,,
0.0,0.301,0.0,0.301,0.0,0.301,,
0.0,0.301,0.0,0.301,0.0,0.301,,
0.0,0.302,0.0,0.302,0.0,0.302,,
0.0,0.303,0.0,0.303,0.0,0.303,,
0.0,0.304,0.0,0.304,0.0,0.304,,
0.0,0.305,0.0,0.305,0.0,0.305,,
0.0,0.306,0.0,0.306,0.0,0.306,,
0.0,0.306,0.0,0.306,0.0,0.306,,
0.0,0.307,0.0,0.307,0.0,0.307,,
0.0,0.308,0.0,0.308,0.0,0.308,,
0.0,0.309,0.0,0.309,0.0,0.309,,
0.0,0.31,0.0,0.31,0.0,0.31,,
0.0,0.311,0.0,0.311,0.0,0.311,,
0.0,0.311,0.0,0.311,0.0,0.311,,
0.0,0.312,0.0,0.312,0.0,0.312,,
0.0,0.313,0.0,0.313,0.0,0.313,,
0.0,0.314,0.0,0.314,0.0,0.314,,
0.0,0.315,0.0,0.315,0.0,0.315,,
0.0,0.316,0.0,0.316,0.0,0.316,,
0.0,0.316,0.0,0.316,0.0,0.316,,
0.0,0.317,0.0,0.317,0.0,0.317,,
0.0,0.318,0.0,0.318,0.0,0.318,,
0.0,0.319,0.0,0.319,0.0,0.319,,
0.0,0.32,0.0,0.32,0.0,0.32,,
0.0,0.321,0.0,0.321,0.0,0.321,,
0.0,0.321,0.0,0.321,0.0,0.321,,
0.0,0.322,0.0,0.322,0.0,0.322,,
0.0,0.323,0.0,0.323,0.0,0.323,,
0.0,0.324,0.0,0.324,0.0,0.324,,
0.0,0.325,0.0,0.325,0.0,0.325,,
0.0,0.326,0.0,0.326,0.0,0.326,,
0.0,0.326,0.0,0.326,0.0,0.326,,
0.0,0.327,0.0,0.327,0.0,0.327,,
0.0,0.328,0.0,0.328,0.0,0.328,,
0.0,0.329,0.0,0.329,0.0,0.329,,
0.0,0.33,0.0,0.33,0.0,0.33,,
0.0,0.331,0.0,0.331,0.0,0.331,,
0.0,0.331,0.0,0.331,0.0,0.331,,
0.0,0.332,0.0,0.332,0.0,0.332,,
0.0,0.333,0.0,0.333,0.0,0.333,,
0.0,0.334,0.0,0.334,0.0,0.334,,
0.0,0.335,0.0,0.335,0.0,0.335,,
0.0,0.336,0.0,0.336,0.0,0.336,,
0.0,0.336,0.0,0.336,0.0,0.336,,
0.0,0.337,0.0,0.337,0.0,0.337,,
0.0,0.338,0.0,0.338,0.0,0.338,,
0.0,0.339,0.0,0.339,0.0,0.339,,
0.0,0.34,0.0,0.34,0.0,0.34,,
0.0,0.341,0.0,0.341,0.0,0.341,,
0.0,0.341,0.0,0.341,0.0,0.341,,
0.0,0.342,0.0,0.342,0.0,0.342,,
0.0,0.343,0.0,0.343,0.0,0.343,,
0.0,0.344,0.0,0.344,0.0,0.344,,
0.0,0.345,0.0,0.345,0.0,0.345,,
0.0,0.346,0.0,0.346,0.0,0.346,,
0.0,0.346,0.0,0.346,0.0,0.346,,
0.0,0.347,0.0,0.347,0.0,0.347,,
0.0,0.348,0.0,0.348,0.0,0.348,,
0.0,0.349,0.0,0.349,0.0,0.349,,
0.0,0.35,0.0,0.35,0.0,0.35,,
0.0,0.351,0.0,0.351,0.0,0.351,,
0.0,0.351,0.0,0.351,0.0,0.351,,
0.0,0.352,0.0,0.352,0.0,0.352,,
0.0,0.353,0.0,0.353,0.0,0.353,,
0.0,0.354,0.0,0.354,0.0,0.354,,
0.0,0.355,0.0,0.355,0.0,0.355,,
0.0,0.356,0.0,0.356,0.0,0.356,,
0.0,0.356,0.0,0.356,0.0,0.356,,
0.0,0.357,0.0,0.357,0.0,0.357,,
0.0,0.358,0.0,0.358,0.0,0.358,,
0.0,0.359,0.0,0.359,0.0,0.359,,
0.0,0.36,0.0,0.36,0.0,0.36,,
0.0,0.361,0.0,0.361,0.0,0.361,,
0.0,0.361,0.0,0.361,0.0,0.361,,
0.0,0.362,0.0,0.362,0.0,0.362,,
0.0,0.363,0.0,0.363,0.0,0.363,,
0.0,0.364,0.0,0.364,0.0,0.364,,
0.0,0.365,0.0,0.365,0.0,0.365,,
0.0,0.366,0.0,0.366,0.0,0.366,,
0.0,0.366,0.0,0.366,0.0,0.366,,
0.0,0.367,0.0,0.367,0.0,0.367,,
0.0,0.368,0.0,0.368,0.0,0.368,,
0.0,0.369,0.0,0.369,0.0,0.369,,
0.0,0.37,0.0,0.37,0.0,0.37,,
0.0,0.371,0.0,0.371,0.0,0.371,,
0.0,0.371,0.0,0.371,0.0,0.371,,
0.0,0.372,0.0,0.372,0.0,0.372,,
0.0,0.373,0.0,0.373,0.0,0.373,,
0.0,0.374,0.0,0.374,0.0,0.374,,
0.0,0.375,0.0,0.375,0.0,0.375,,
0.0,0.376,0.0,0.376,0.0,0.376,,
0.0,0.376,0.0,0.376,0.0,0.376,,
0.0,0.377,0.0,0.377,0.0,0.377,,
0.0,0.378,0.0,0.378,0.0,0.378,,
0.0,0.379,0.0,0.379,0.0,0.379,,
0.0,0.38,0.0,0.38,0.0,0.38,,
0.0,0.381,0.0,0.381,0.0,0.381,,
0.0,0.381,0.0,0.381,0.0,0.381,,
0.0,0.382,0.0,0.382,0.0,0.382,,
0.0,0.383,0.0,0.383,0.0,0.383,,
0.0,0.384,0.0,0.384,0.0,0.384,,
0.0,0.385,0.0,0.385,0.0,0.385,,
0.0,0.386,0.0,0.386,0.0,0.386,,
0.0,0.386,0.0,0.386,0.0,0.386,,
0.0,0.387,0.0,0.387,0.0,0.387,,
0.0,0.388,0.0,0.388,0.0,0.388,,
0.0,0.389,0.0,0.389,0.0,0.389,,
0.0,0.39,0.0,0.39,0.0,0.39,,
0.0,0.391,0.0,0.391,0.0,0.391,,
0.0,0.391,0.0,0.391,0.0,0.391,,
0.0,0.392,0.0,0.392,0.0,0.392,,
0.0,0.393,0.0,0.393,0.0,0.393,,
0.0,0.394,0.0,0.394,0.0,0.394,,
0.0,0.395,0.0,0.395,0.0,0.395,,
0.0,0.396,0.0,0.396,0.0,0.396,,
0.0,0.396,0.0,0.396,0.0,0.396,,
0.0,0.397,0.0,0.397,0.0,0.397,,
0.0,0.398,0.0,0.398,0.0,0.398,,
0.0,0.399,0.0,0.399,0.0,0.399,,
0.0,0.4,0.0,0.4,0.0,0.4,,
0.0,0.4,0.0,0.4,0.0,0.4,,
0.0,0.401,0.0,0.401,0.0,0.401,,
0.0,0.402,0.0,0.402,0.0,0.402,,
0.0,0.403,0.0,0.403,0.0,0.403,,
0.0,0.404,0.0,0.404,0.0,0.404,,
0.0,0.405,0.0,0.405,0.0,0.405,,
0.0,0.405,0.0,0.405,0.0,0.405,,
0.0,0.406,0.0,0.406,0.0,0.406,,
0.0,0.407,0.0,0.407,0.0,0.407,,
0.0,0.408,0.0,0.408,0.0,0.408,,
0.0,0.409,0.0,0.409,0.0,0.409,,
0.0,0.41,0.0,0.41,0.0,0.41,,
0.0,0.41,0.0,0.41,0.0,0.41,,
0.0,0.411,0.0,0.411,0.0,0.411,,
0.0,0.412,0.0,0.412,0.0,0.412,,
0.0,0.413,0.0,0.413,0.0,0.413,,
0.0,0.414,0.0,0.414,0.0,0.414,,
0.0,0.415,0.0,0.415,0.0,0.415,,
0.0,0.415,0.0,0.415,0.0,0.415,,
0.0,0.416,0.0,0.416,0.0,0.416,,
0.0,0.417,0.0,0.417,0.0,0.417,,
0.0,0.418,0.0,0.418,0.0,0.418,,
0.0,0.419,0.0,0.419,0.0,0.419,,
0.0,0.42,0.0,0.42,0.0,0.42,,
0.0,0.42,0.0,0.42,0.0,0.42,,
0.0,0.421,0.0,0.421,0.0,0.421,,
0.0,0.422,0.0,0.422,0.0,0.422,,
0.0,0.423,0.0,0.423,0.0,0.423,,
0.0,0.424,0.0,0.424,0.0,0.424,,
0.0,0.425,0.0,0.425,0.0,0.425,,
0.0,0.425,0.0,0.425,0.0,0.425,,
0.0,0.426,0.0,0.426,0.0,0.426,,
0.0,0.427,0.0,0.427,0.0,0.427,,
0.0,0.428,0.0,0.428,0.0,0.428,,
0.0,0.429,0.0,0.429,0.0,0.429,,
0.0,0.43,0.0,0.43,0.0,0.43,,
0.0,0.43,0.0,0.43,0.0,0.43,,
